brokerageSlabCode, clientID, brokerageType, slabType, segment, TradingAmount,tradePrice, quantity, brokerageOfferper, brokerageOfferAmt, perAmount, amtAmount
B005,121848,R,T,CASH,53612.3,97.3,551,0.0,0.005,0.0,2.755
B005,121848,R,T,CASH,12162.5,97.3,125,0.0,0.005,0.0,0.625
B005,121848,R,T,CASH,2335.2,97.3,24,0.0,0.005,0.0,0.12
B005,121848,R,T,CASH,40406.4,97.6,414,0.0,0.005,0.0,2.07
B005,121848,R,T,CASH,27913.6,97.6,286,0.0,0.005,0.0,1.43
B303,123377,R,T,CASH,3450.0,34.5,100,0.0,0.03,0.0,3.0
B303,123377,R,T,CASH,3550.0,35.5,100,0.0,0.03,0.0,3.0
B303,120377,R,T,CASH,9549.5,1909.9,5,0.03,0.0,2.86485,0.0
B303,120377,R,T,CASH,9976.25,1995.25,5,0.03,0.0,2.9928749999999997,0.0
B101,121784,R,T,CASH,104292.3,2483.15,42,0.01,0.0,10.42923,0.0
B101,121784,R,T,CASH,47179.85,2483.15,19,0.01,0.0,4.717985,0.0
B101,121784,R,T,CASH,96842.85,2483.15,39,0.01,0.0,9.684285000000001,0.0
B101,121784,R,T,CASH,123852.5,2477.05,50,0.01,0.0,12.385250000000001,0.0
B101,121784,R,T,CASH,123717.5,2474.35,50,0.01,0.0,12.371749999999999,0.0
B101,121784,R,T,CASH,94490.8,2486.6,38,0.01,0.0,9.44908,0.0
B101,121784,R,T,CASH,14919.6,2486.6,6,0.01,0.0,1.49196,0.0
B101,121784,R,T,CASH,14919.6,2486.6,6,0.01,0.0,1.49196,0.0
B101,121784,R,T,CASH,123315.0,2466.3,50,0.01,0.0,12.3315,0.0
B101,121784,R,T,CASH,111955.5,2487.9,45,0.01,0.0,11.19555,0.0
B101,121784,R,T,CASH,12439.5,2487.9,5,0.01,0.0,1.24395,0.0
B101,121784,R,T,CASH,62261.25,2490.45,25,0.01,0.0,6.226125000000001,0.0
B101,121784,R,T,CASH,62261.25,2490.45,25,0.01,0.0,6.226125000000001,0.0
B101,121784,R,T,CASH,4920.0,2460.0,2,0.01,0.0,0.49200000000000005,0.0
B101,121784,R,T,CASH,118080.0,2460.0,48,0.01,0.0,11.808,0.0
B101,121784,R,T,CASH,41814.05,2459.65,17,0.01,0.0,4.181405000000001,0.0
B101,121784,R,T,CASH,36894.75,2459.65,15,0.01,0.0,3.689475,0.0
B101,121784,R,T,CASH,17217.55,2459.65,7,0.01,0.0,1.721755,0.0
B101,121784,R,T,CASH,24596.5,2459.65,10,0.01,0.0,2.45965,0.0
B101,121784,R,T,CASH,2459.65,2459.65,1,0.01,0.0,0.24596500000000002,0.0
B101,121784,R,T,CASH,491930.0,2459.65,200,0.01,0.0,49.193000000000005,0.0
B101,121784,R,T,CASH,61478.75,2459.15,25,0.01,0.0,6.147875,0.0
B101,121784,R,T,CASH,2455.5,2455.5,1,0.01,0.0,0.24555,0.0
B101,121784,R,T,CASH,2455.5,2455.5,1,0.01,0.0,0.24555,0.0
B101,121784,R,T,CASH,56476.5,2455.5,23,0.01,0.0,5.64765,0.0
B101,121784,R,T,CASH,2459.1,2459.1,1,0.01,0.0,0.24591000000000002,0.0
B101,121784,R,T,CASH,341814.9,2459.1,139,0.01,0.0,34.181490000000004,0.0
